times,a,b,c,d,e,f
24,1,1,0,1,1,1
48,0,1,1,0,0,1
72,0,1,2,0,0,1
96,8,1,0,0,0,2
120,0,1,0,0,0,2
144,0,1,1,1,2,1
168,0,1,1,1,1,0
192,0,1,1,2,0,2
216,-9,1,-1,-2,-1,-1
